MiniProgram productId,stable SKU,商品,规格,售价分,当前资格,OS Product ID,OS SKU,OS状态,黑名单,口味选择,明确状态
c1,sku-1056674d6fa58033d5147d7317865b8f09b35d3ed2a173064547aec2c500cea3,92%生巧克力,100g/盒,13800,True,it-7f5501d1-0738-4af8-8ca7-21e7883363ed,BUDU-CHOC-D92-01,ACTIVE,NO,,MAPPED_ELIGIBLE
c2,sku-748001bbb33a2831283a71755b741336ff6f3f095329440c00649a32724581c1,抹茶生巧克力,100g/盒,13800,True,it-1dbcf102-123a-443d-889b-89dba8ce4555,BUDU-CHOC-MAT-02,ACTIVE,NO,,MAPPED_ELIGIBLE
c3,sku-ad5d0b1a0562c182d94af1fef4139ab2fc1574adb60baca17a7e0a0795202c55,榛子生巧克力,100g/盒,13800,True,it-6e4452d3-d360-4a45-aae9-12af11c939eb,BUDU-CHOC-HAZ-03,ACTIVE,NO,,MAPPED_ELIGIBLE
c4,sku-3454241d891f9957dc7311f33e1945319763f4a1dddc0c917c1e8fab7b1a2792,茉莉花茶生巧克力,100g/盒,13800,True,it-0559ed77-cfec-46a8-889b-d8c85eefb4bc,BUDU-CHOC-JAS-04,ACTIVE,NO,,MAPPED_ELIGIBLE
c5,sku-eb528b949741f26b35c0711cbfc22ae5d453d633bab3da35ea8a102ee92b4f42,柚子生巧克力,100g/盒,13800,True,it-14324985-dc49-4540-89a3-077530a6f4fa,BUDU-CHOC-CIT-05,ACTIVE,NO,,MAPPED_ELIGIBLE
s1,sku-f36a7fe835616946c84f6d493991a1984c9ea73c227fa2a271a109f3e506f393,NO.1树莓,6g/颗,500,True,it-a005da2f-5a59-4f28-9d71-8cf28df6a452,BUDU-CANDY-01,ACTIVE,NO,,MAPPED_ELIGIBLE
s2,sku-eb16bd43a015ca05475689952da9cd2813689abc820a3771b61d0b64f5257722,NO.2柠檬,6g/颗,500,True,it-a005da2f-5a59-4f28-9d71-8cf28df6a452,BUDU-CANDY-01,ACTIVE,NO,,MAPPED_ELIGIBLE
s3,sku-3672a357f1e301793d350439ec73ae84d20c245b304d4206e4c69665f5499e0c,NO.3百香果,6g/颗,500,True,it-a005da2f-5a59-4f28-9d71-8cf28df6a452,BUDU-CANDY-01,ACTIVE,NO,,MAPPED_ELIGIBLE
s4,sku-3b0e49a53a2b3f8ac06ad55b66942cd499b3109679d39bb57c807974c4c350ab,NO.4橙子,6g/颗,500,True,it-a005da2f-5a59-4f28-9d71-8cf28df6a452,BUDU-CANDY-01,ACTIVE,NO,,MAPPED_ELIGIBLE
s5,sku-16929969992337ab4fa88c74387e188e1433fa378d260134b514f5f5d33ad38b,NO.5英式伯爵茶,6g/颗,500,True,it-a005da2f-5a59-4f28-9d71-8cf28df6a452,BUDU-CANDY-01,ACTIVE,NO,,MAPPED_ELIGIBLE
s6,sku-73a5774edb0aab3c40f8f17fd971dca70444b54e428439af7418bc5145038b44,NO.6泰式奶茶,6g/颗,500,True,it-a005da2f-5a59-4f28-9d71-8cf28df6a452,BUDU-CANDY-01,ACTIVE,NO,,MAPPED_ELIGIBLE
s7,sku-917c7d94d3dde74b178df2432f071ed0530fbc755931175c0c6bf71af0e22437,NO.7抹茶,6g/颗,500,True,it-a005da2f-5a59-4f28-9d71-8cf28df6a452,BUDU-CANDY-01,ACTIVE,NO,,MAPPED_ELIGIBLE
s8,sku-cd302f90f6bf712a18d3f593aa964be9f25927a3b3ea09e41224ddcd2c247f9d,NO.8榛子,6g/颗,500,True,it-a005da2f-5a59-4f28-9d71-8cf28df6a452,BUDU-CANDY-01,ACTIVE,NO,,MAPPED_ELIGIBLE
s9,sku-a68782e6dae849510e68438b65649f78730cc77e166d97fb8e2bd6e31afd17d0,NO.9海盐焦糖,6g/颗,500,True,it-a005da2f-5a59-4f28-9d71-8cf28df6a452,BUDU-CANDY-01,ACTIVE,NO,,MAPPED_ELIGIBLE
s10,sku-a20565d40128921e3febfc6268504d05085500b89180302404377a8957095800,NO.10香草,6g/颗,500,True,it-a005da2f-5a59-4f28-9d71-8cf28df6a452,BUDU-CANDY-01,ACTIVE,NO,,MAPPED_ELIGIBLE
s11,sku-629bf11f3022115b779b1d3b4434adf811239221782d84269e7c67db4ecd0e3b,NO.11生椰拿铁,6g/颗,500,True,it-a005da2f-5a59-4f28-9d71-8cf28df6a452,BUDU-CANDY-01,ACTIVE,NO,,MAPPED_ELIGIBLE
s12,sku-c1175c46d415c488191de7eca9871164d07f86a845ccdd307b24040ec1de6860,NO.12巧克力,6g/颗,500,True,it-a005da2f-5a59-4f28-9d71-8cf28df6a452,BUDU-CANDY-01,ACTIVE,NO,,MAPPED_ELIGIBLE
g24,sku-8fd82f29fa7465965d6a7fc3e655024be55876293bb6d83c715aad500dde9b1d,24颗礼盒,24颗/盒,12900,True,it-msjcvvfl-7azlu5,BUDU-BOX-24,ACTIVE,NO,,MAPPED_ELIGIBLE
g12,sku-c2673e70c033126254b5affd310ddc52d8915f63fe25a4ba6ba122ac862edfc3,12颗礼盒,12颗/盒,6900,True,it-f2b30d9a-3a28-486e-849f-975ef5363cb0,BUDU-BOX-12,ACTIVE,NO,,MAPPED_ELIGIBLE
g8f,sku-97823463f20f9cd42df54abb91a72ae9f7b34637f12722d68d89b53e222d9a23,8颗礼盒-方,8颗/盒,4900,True,it-37ec32af-d6e9-43e7-9e85-2d36145d9f20,BUDU-BOX-8SQ,ACTIVE,NO,,MAPPED_ELIGIBLE
g8l,sku-4e3e581031db43c322deb309a7734b73796cf3204a24802cc7b22db497705ffd,8颗礼盒-长,8颗/盒,4900,True,it-f7b115b9-88f1-42ae-adc4-d58b65eb6a4e,BUDU-BOX-8LN,ACTIVE,NO,,MAPPED_ELIGIBLE
b1,sku-bebc4e14715fb1a36a7c9478b4910b85eddbd34dd129b079a9a94609a01bc17e,巧克力豆.爆酸豆,75g/罐,6900,True,it-a792228b-11a9-4940-ac4f-f85a33f3a121,BUDU-CHOC-ESB-01,ACTIVE,NO,,MAPPED_ELIGIBLE
b2,sku-e308ff4afa8f8f1e4217b0dac2ddf2e49b1c3b357312d89df42d26eed17ca734,巧克力豆.泰奶麻薯,75g/罐,6900,True,it-bbf449bc-d45a-470a-93ba-6182531bf17d,BUDU-CHOC-TMM-02,ACTIVE,NO,,MAPPED_ELIGIBLE
b3,sku-03c19ac7c69a6d1bbd0c176cb88b99cc5cb945bb2b2e556f31e015de1f8d8ba9,巧克力豆.原粒杏仁,75g/罐,6900,True,it-c64ad0b2-1ede-449d-8f6f-03698f542dda,BUDU-CHOC-WA-03,ACTIVE,NO,,MAPPED_ELIGIBLE
b4,sku-a200a6ad1f4eddc14104022d48a410a8346c89e852c9fbb6886b90fe319882be,巧克力豆.百香果凤梨,75g/罐,6900,True,it-4e8c7c49-b5a8-4d97-b2fb-3ed5fdcf4a0d,BUDU-CHOC-PFP-04,ACTIVE,NO,,MAPPED_ELIGIBLE
b5,sku-6ec20e3abe69f39dd14e3479b65775e8c1b6b66340bfb3b4631f522108d95c4b,巧克力豆.山核桃,75g/罐,6900,True,it-ac6d14b6-90ad-4027-81e5-5595b82638e4,BUDU-CHOC-PF-05,ACTIVE,NO,,MAPPED_ELIGIBLE
