DailyStoreStaff.id,date,store,legacy Staff.id,DailyEntry status,proposed Employee.id,evidence map reference,promotion classification
dss-25f9681f-8271-439e-98c8-cf453a9afade,2026-08-11,chaowai,st-chaowai-ijqgkvp9c,confirmed,emp-7647053a-9232-4863-8609-72e62a35ce0b,M03,PROMOTABLE_HIGH_CONFIDENCE
dss-2d940eff-307d-4fb2-9fd6-f5fda73648e9,2026-08-11,guanshe,st-chaowai-poyk0f,confirmed,emp-8c4ba159-0fcb-474d-bb3c-ecd21928e2a8,M06,PROMOTABLE_HIGH_CONFIDENCE
dss-c1312d3f-f93d-450f-a446-9d463c45ef61,2026-08-11,tongying,st-tongying-gl2ptjsds,confirmed,emp-6ec93d71-6147-4e50-a5d0-0cf36fac95db,M02,PROMOTABLE_HIGH_CONFIDENCE
dss-9c13826c-70e5-45ac-8003-b6d3e53eb120,2026-08-11,xidan,st-xidan-mtnp0ifip,confirmed,emp-40a8f7be-820b-4318-9cc5-1b3a2f40198d,M05,PROMOTABLE_HIGH_CONFIDENCE
dss-faf927a3-80aa-4e74-b352-7af8ddc076f6,2026-08-12,chaowai,st-chaowai-ijqgkvp9c,confirmed,emp-7647053a-9232-4863-8609-72e62a35ce0b,M03,PROMOTABLE_HIGH_CONFIDENCE
dss-f76e1959-786f-4d35-b43b-b6fb59bebcad,2026-08-12,guanshe,st-guanshe-tqjk7n,confirmed,emp-53f97563-478f-423c-b269-87bdcaa39f1b,M08,PROMOTABLE_HIGH_CONFIDENCE
dss-a6428398-cbcd-4ffd-bb44-3ae18ba83118,2026-08-12,tongying,st-tongying-kemu72mhh,draft,emp-83535521-87b8-4def-b171-16ede79eefe6,M04,PROMOTABLE_HIGH_CONFIDENCE
dss-02cc683a-ba6c-437d-a7b2-c20e82c5c013,2026-08-12,xidan,st-xidan-took1zj8n,confirmed,emp-73978c49-e12c-4f4f-9ca3-0a15f2de1977,M07,PROMOTABLE_HIGH_CONFIDENCE
dss-1e0f0948-0761-4921-a876-81377884017a,2026-08-13,chaowai,st-chaowai-poyk0f,confirmed,emp-8c4ba159-0fcb-474d-bb3c-ecd21928e2a8,M06,PROMOTABLE_HIGH_CONFIDENCE
dss-d402c5ce-512d-42aa-a605-5436b5fb91f7,2026-08-13,guanshe,st-xidan-took1zj8n,confirmed,emp-73978c49-e12c-4f4f-9ca3-0a15f2de1977,M07,PROMOTABLE_HIGH_CONFIDENCE
dss-379c4b01-507d-4194-b0f7-4e731517cafa,2026-08-13,tongying,st-tongying-kemu72mhh,draft,emp-83535521-87b8-4def-b171-16ede79eefe6,M04,PROMOTABLE_HIGH_CONFIDENCE
dss-e809852c-29e5-4b48-8c73-479cf73d5d35,2026-08-13,xidan,st-xidan-mtnp0ifip,confirmed,emp-40a8f7be-820b-4318-9cc5-1b3a2f40198d,M05,PROMOTABLE_HIGH_CONFIDENCE
